,,140,,,,,,,,
,,COMICS,,,,,,,,Series Names
,S.NO.,TITLE,PRICE,GENRE,BOOK CODE,ACC #,SERIES,DATE OF ADDITION,,Amar Chitra Katha
,1,Shikari Shambu 4,125,Tinkle,CTINK1,C001,,6-Apr-2018,,Asterix
,2,Tinkle - April 2017,30,Tinkle,CTINK2,C002,,6-Apr-2018,,Chhotta Bheem
,3,Tantri The Mantri 2,125,Tinkle,CTINK3,C003,,6-Apr-2018,,Garfield
,4,Ghanshyamdas Birla,35,Amar Chitra Katha,CACK1,C004,,6-Apr-2018,,Tintin
,5,Comics Genius:Ram Waerkar,125,Tinkle,CTINK4,C005,,6-Apr-2018,,Tinkle
,6,Jamsetji Tata,30,Amar Chitra Katha,CACK2,C006,,6-Apr-2018,,Calvin and Hobbes
,7,Tinkle - January 2004,20,Tinkle,CTINK5,C007,,6-Apr-2018,,
,8,Ooops... It's Butterfingers,125,Tinkle,CTINK6,C008,,6-Apr-2018,,
,9,Tinkle - July 2012,30,Tinkle,CTINK7,C009,,6-Apr-2018,,
,10,The Adventures of Suppandi - 1,125,Tinkle,CTINK8,C010,,6-Apr-2018,,
,11,Lazy Sunday Book,500,Calvin and Hobbes,CCAH1,C011,,7-Apr-2018,,
,12,The Calculus Affair,350,Tintin,CTINT1,C012,,7-Apr-2018,,
,13,Dental Diaries: The Ire of a Vampire,125,Tinkle,CTINK9,C013,,9-Apr-2018,,
,14,Tinkle Double Digest No.65,95,Tinkle,CTINK10,C014,,9-Apr-2018,,
,15,Tinkle Double Digest No.72,75,Tinkle,CTINK11,C015,,17-Apr-2018,,
,16,The Sunderbans,95,Vivalok Comics,CVIV1,C016,,17-Apr-2018,,
,17,Jughead with Archie (191),55,Archie Comics,CARC1,C017,,17-Apr-2018,,
,18,Tinkle Double Digest (24),120,Tinkle,CTINK12,C018,,17-Apr-2018,,
,19,Tinkle Digest (150),40,Tinkle,CTINK13,C019,,17-Apr-2018,,
,20,Rash Behari Bose,35,Amar Chitra Katha,CACK3,C020,,17-Apr-2018,,
,21,Sultana Razia,35,Amar Chitra Katha,CACK4,C021,,17-Apr-2018,,
,22,Jawaharlal Nehru,35,Amar Chitra Katha,CACK5,C022,,17-Apr-2018,,
,23,Tinkle Double Digest (11),60,Tinkle,CTINK14,C023,,17-Apr-2018,,
,24,Tinkle - Nov 2006,20,Tinkle,CTINK15,C024,,17-Apr-2018,,
,25,Guru Arjan,35,Amar Chitra Katha,CACK6,C025,,17-Apr-2018,,
,26,The Celestial Necklace,35,Amar Chitra Katha,CACK7,C026,,17-Apr-2018,,
,27,Bimbisara,30,Amar Chitra Katha,CACK8,C027,,17-Apr-2018,,
,28,Kapala Kundala,30,Amar Chitra Katha,CACK9,C028,,17-Apr-2018,,
,29,Basaveshwara,35,Amar Chitra Katha,CACK10,C029,,17-Apr-2018,,
,30,Veer Savarkar,30,Amar Chitra Katha,CACK11,C030,,17-Apr-2018,,
,31,Rana Kumbha,30,Amar Chitra Katha,CACK12,C031,,17-Apr-2018,,
,32,Tinkle Double Digest (6),75,Tinkle,CTINK16,C032,,17-Apr-2018,,
,33,Zarathushtra,35,Amar Chitra Katha,CACK13,C033,,17-Apr-2018,,
,34,Andhaka,35,Amar Chitra Katha,CACK14,C034,,17-Apr-2018,,
,35,Ram Shastri,35,Amar Chitra Katha,CACK15,C035,,17-Apr-2018,,
,36,Tinkle Digest (10),70,Tinkle,CTINK17,C036,,17-Apr-2018,,
,37,Tinkle (32),75,Tinkle,CTINK18,C037,,17-Apr-2018,,
,38,Pictorial Stories for Children-2,30,Ramakrishna Math,CRAM1,C038,,17-Apr-2018,,
,39,Tinkle Double Digest (7),75,Tinkle,CTINK19,C039,,17-Apr-2018,,
,40,Tinkle Digest (5/10),70,Tinkle,CTINK20,C040,,17-Apr-2018,,
,41,The Legend of Lalitaditya,30,Amar Chitra Katha,CACK16,C041,,17-Apr-2018,,
,42,Pictorial Stories for Children-4,30,Ramakrishna Math,CRAM2,C042,,17-Apr-2018,,
,43,Pictorial Stories for Children-3,30,Ramakrishna Math,CRAM3,C043,,17-Apr-2018,,
,44,Tinkle (Feb 2008),20,Tinkle,CTINK21,C044,,17-Apr-2018,,
,45,Pictorial Stories for Children-1,30,Ramakrishna Math,CRAM4,C045,,17-Apr-2018,,
,46,"Tinkle (May 1,2017)",30,Tinkle,CTINK22,C046,,17-Apr-2018,,
,47,Tinkle Double Digest (35),75,Tinkle,CTINK23,C047,,17-Apr-2018,,
