Date of Issue,Due Date,Acc #,Issued to,Date Returned
15-Apr-18,29-Apr-18,6018,RE-R12,
15-Apr-18,29-Apr-18,8145,RE-R10,
15-Apr-18,29-Apr-18,8129,RE-R47,
15-Apr-18,29-Apr-18,8046,FP-E7,
15-Apr-18,29-Apr-18,6094,FP-G1,
17-Apr-18,1-May-18,1037,MO-D15,
17-Apr-18,1-May-18,C059,FP-H12,
25-Apr-18,9-May-18,6105,MO-D7,
25-Apr-18,9-May-18,8008,RE-R26,
9-May-18,23-May-18,6118,FP-E7,
9-May-18,23-May-18,6102,FP-E2,
14-May-18,28-May-18,1052,TE-E402,
14-May-18,28-May-18,1076,TE-E402,
22-May-18,5-Jun-18,1002,RE-R28,
22-May-18,5-Jun-18,6025,RE-E4,
22-May-18,5-Jun-18,1025,RE-E4,
22-May-18,5-Jun-18,1017,RE-E4,
23-May-18,6-Jun-18,6072,MO-F11,
23-May-18,6-Jun-18,6186,MO-F11,
25-May-18,8-Jun-18,6005,MO-B9,
25-May-18,8-Jun-18,1013,MO-B9,
30-May-18,13-Jun-18,7005,FP-G1,
30-May-18,13-Jun-18,6132,FP-G1,
30-May-18,13-Jun-18,6063,FP-G1,
31-May-18,14-Jun-18,C003,MO-F11,
31-May-18,14-Jun-18,6187,MO-F11,
4-Jun-18,18-Jun-18,6062,MO-D3,
8-Jun-18,22-Jun-18,6149,MO-D15,
8-Jun-18,22-Jun-18,1049,MO-D15,
15-Jun-18,29-Jun-18,8140,MO-A3,
21-Jun-18,5-Jul-18,9023,RE-B1,
28-Jun-18,12-Jul-18,6058,RE-B2,
28-Jun-18,12-Jul-18,C036,RE-B2,
28-Jun-18,12-Jul-18,C014,RE-B2,
6-Jul-18,20-Jul-18,1046,MO-C8,
7-Jul-18,21-Jul-18,1023,PA-B22,
7-Jul-18,21-Jul-18,1024,PA-B22,
11-Jul-18,25-Jul-18,6051,TE-B402,
12-Jul-18,26-Jul-18,9039,TE-A103,
13-Jul-18,27-Jul-18,6110,RE-R16,
18-Jul-18,1-Aug-18,9003,RE-B1,
18-Jul-18,1-Aug-18,1070,RE-B1,
26-Jul-18,9-Aug-18,8089,MO-E12,
27-Jul-18,10-Aug-18,8189,PA-B10,
4-Aug-18,18-Aug-18,EM003,FP-B12,Book number entry seems to be wrong
4-Aug-18,18-Aug-18,C026,FP-A9,
4-Aug-18,18-Aug-18,C052,FP-A9,
7-Aug-18,21-Aug-18,6073,MO-D7,
8-Aug-18,22-Aug-18,6093,FP-B12,
23-Aug-18,6-Sep-18,1074,TE-B103,
27-Aug-18,10-Sep-18,6029,FP-B6,
5-Sep-18,19-Sep-18,1077,MO-E15,
5-Sep-18,19-Sep-18,1072,FP-A11,
7-Sep-18,21-Sep-18,6081,OR-B13,
8-Sep-18,22-Sep-18,1067,MO-C1,
8-Sep-18,22-Sep-18,1057,MO-C1,
8-Sep-18,22-Sep-18,8128,MO-C1,
20-Sep-18,4-Oct-18,6204,FP-E1,
20-Sep-18,4-Oct-18,6104,FP-E1,
20-Sep-18,4-Oct-18,C051,FP-E1,
22-Sep-18,6-Oct-18,6206,MO-E14,
27-Sep-18,11-Oct-18,C039,TE-C201,
27-Sep-18,11-Oct-18,6148,TE-C201,
8-Oct-18,22-Oct-18,C012,MO-B2,
15-Oct-18,29-Oct-18,1057,MO-D6,
15-Oct-18,29-Oct-18,1027,MO-D6,
17-Oct-18,31-Oct-18,8213,PA-B10,
17-Oct-18,31-Oct-18,8191,PA-B10,
1-Nov-18,15-Nov-18,8035,RE-R42,
1-Nov-18,15-Nov-18,8053,RE-R42,
20-Nov-18,4-Dec-18,6116,MO-C1,
20-Nov-18,4-Dec-18,9064,MO-C1,
20-Nov-18,4-Dec-18,6088,MO-C1,
21-Nov-18,5-Dec-18,8149,MO-D14,
27-Nov-18,11-Dec-18,9014,RE-B1,
27-Nov-18,11-Dec-18,9077,RE-B1,
27-Nov-18,11-Dec-18,6212,RE-B1,
18-Dec-18,1-Jan-19,8225,TE-E201,
5-Jan-19,19-Jan-19,6011,MO-D6,
8-Jan-19,22-Jan-19,1021,MO-F2,
8-Jan-19,22-Jan-19,6202,MO-F2,
8-Jan-19,22-Jan-19,1028,MO-C8,
9-Jan-19,23-Jan-19,8225,TE-E201,
10-Jan-19,24-Jan-19,7030,PA-B10,
10-Jan-19,24-Jan-19,B193,PA-B10,
10-Jan-19,24-Jan-19,8064,PA-B10,
11-Jan-19,25-Jan-19,1057,MO-C8,
11-Jan-19,25-Jan-19,6074,MO-D3,
11-Jan-19,25-Jan-19,6037,RE-E2,
11-Jan-19,25-Jan-19,6008,RE-E2,
11-Jan-19,25-Jan-19,9008,RE-E2,
14-Jan-19,28-Jan-19,6062,MO-E11,
17-Jan-19,31-Jan-19,8258,RE-R15,
19-Jan-19,2-Feb-19,6256,FP-H3,
19-Jan-19,2-Feb-19,SOUNDS,MO-F10,
29-Jan-19,12-Feb-19,colours,MO-C8,
5-Feb-19,19-Feb-19,1049,MO-D6,
5-Feb-19,19-Feb-19,6134,MO-D6,
5-Feb-19,19-Feb-19,8084,TE-B403,
6-Feb-19,20-Feb-19,6004,MO-E7,
6-Feb-19,20-Feb-19,6104,MO-E7,
12-Feb-19,26-Feb-19,6051,TE-B103,
20-Feb-19,6-Mar-19,8060,MO-B2,
28-Feb-19,14-Mar-19,8192,TE-A202,
4-Mar-19,18-Mar-19,7027,FP-E1,
4-Mar-19,18-Mar-19,6316,RE-R40,
4-Mar-19,18-Mar-19,1082,MO-D6,
4-Mar-19,18-Mar-19,1040,MO-D6,
4-Mar-19,18-Mar-19,C023,MO-D6,
4-Mar-19,18-Mar-19,6338,FP-E1,
4-Mar-19,18-Mar-19,C008,FP-E1,
6-Mar-19,20-Mar-19,7002,PA-B18,
6-Mar-19,20-Mar-19,7036,PA-B18,
6-Mar-19,20-Mar-19,7037,PA-B18,
6-Mar-19,20-Mar-19,9070,FP-B2,
6-Mar-19,20-Mar-19,7023,RE-R40,
6-Mar-19,20-Mar-19,7044,TE-C202,
12-Mar-19,26-Mar-19,1010,FP-G8,
12-Mar-19,26-Mar-19,1061,FP-G8,
12-Mar-19,26-Mar-19,1084,FP-G8,
18-Mar-19,1-Apr-19,6080,FP-D6,
18-Mar-19,1-Apr-19,1025,FP-D6,
18-Mar-19,1-Apr-19,1634,FP-D6,
25-Mar-19,8-Apr-19,6053,MO-E6,
25-Mar-19,8-Apr-19,6070,MO-E6,
25-Mar-19,8-Apr-19,8178,MO-E6,
25-Mar-19,8-Apr-19,6046,MO-C5,
25-Mar-19,8-Apr-19,6117,MO-C5,
